start
orginal_choose: G:\My Drive\Video\Torrent_F\有码
root_to_compare: G:\Shared drives\Migration\Torrent_F\有码
root_to_remove: G:\Shared drives\Migration\To remove
root_to_remove1: G:\Shared drives\Migration\To remove1
1 : EKDV-217 (535.68, 'MB') < (5.05, 'GB')
2 : EKDV-543 (5.76, 'GB') < (6.2, 'GB')
3 : DPMI-046 (2.82, 'GB') < (4.61, 'GB')
4 : YRH-216 (4.3, 'GB') < (7.05, 'GB')
5 : WWK-016 (2.43, 'GB') < (4.12, 'GB')
6 : IDBD-768 (5.2, 'GB') < (10.44, 'GB')
7 : IDBD-747 (6.97, 'GB') < (34.1, 'GB')
8 : OFJE-152 (7.0, 'GB') < (27.86, 'GB')
9 : OFJE-148 (6.98, 'GB') < (20.0, 'GB')
10 : OFJE-236 (19.69, 'GB') < (79.74, 'GB')
11 : OFJE-144 (13.74, 'GB') < (19.7, 'GB')
12 : OFJE-112 (6.93, 'GB') < (13.89, 'GB')
13 : OFJE-125 (13.98, 'GB') < (15.58, 'GB')
14 : OFJE-126 (6.97, 'GB') < (13.92, 'GB')
15 : OFJE-094 (27.09, 'GB') < (34.47, 'GB')
16 : OFJE-174 (11.3, 'GB') < (27.82, 'GB')
17 : OFJE-118 (6.94, 'GB') < (13.92, 'GB')
18 : NACR-071 (5.94, 'GB') < (10.09, 'GB')
19 : TBL-003 (486.74, 'MB') < (2.94, 'GB')
20 : TBL-001 (487.22, 'MB') < (2.85, 'GB')
21 : T28-572 (1.35, 'GB') < (5.65, 'GB')
22 : ABP-630 (3.95, 'GB') < (7.25, 'GB')
23 : ABP-881 (5.28, 'GB') < (6.26, 'GB')
24 : ABP-399 (6.85, 'GB') < (7.24, 'GB')
25 : ABP-713 (8.78, 'GB') < (15.72, 'GB')
26 : ABP-894 (6.83, 'GB') < (7.39, 'GB')
27 : ABP-219 (6.25, 'GB') < (12.78, 'GB')
28 : ABP-874 (6.35, 'GB') < (7.95, 'GB')
29 : ABP-888 (3.79, 'GB') < (5.8, 'GB')
30 : ABP-852 (1.59, 'GB') < (4.8, 'GB')
31 : ABP-238 (539.41, 'MB') < (4.94, 'GB')
32 : ABP-592 (2.38, 'GB') < (9.01, 'GB')
33 : ABP-721 (10.17, 'GB') < (14.18, 'GB')
34 : ABP-533 (2.09, 'GB') < (4.86, 'GB')
35 : ABP-524 (1.05, 'GB') < (4.35, 'GB')
36 : ABP-135 (5.1, 'GB') < (5.44, 'GB')
37 : ABP-674 (2.79, 'GB') < (6.87, 'GB')
38 : ABP-816 (1.89, 'GB') < (5.79, 'GB')
39 : ABP-595 (1.92, 'GB') < (5.9, 'GB')
40 : ABP-786 (6.85, 'GB') < (7.1, 'GB')
41 : ABP-503 (1.07, 'GB') < (4.38, 'GB')
42 : ABP-188 (2.87, 'GB') < (5.49, 'GB')
